galaxy,image,follow_up,comment
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star157.png,True,test
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star217.png,False,bkg galaxy? - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star149.png,False,SN 2009hd - Jeniveve
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star186.png,True,something still there - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star397.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star170.png,True,looks to be fading -JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star332.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star359.png,True,Inspect imgs - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star441.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star394.png,False,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star385.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star65.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star122.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star234.png,True,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star158.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star41.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star274.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star100.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star120.png,True,SN? - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star467.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star49.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star98.png,True,
